,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"2,000.00","2,200.00","2,100.00",Rs./Quintal,6.90,Metric Tonnes,20-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,0.40,Metric Tonnes,18-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,600.00,"1,500.00","1,050.00",Rs./Quintal,6.10,Metric Tonnes,18-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"2,000.00","2,200.00","2,100.00",Rs./Quintal,4.00,Metric Tonnes,17-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,500.00,"1,600.00","1,050.00",Rs./Quintal,6.70,Metric Tonnes,17-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,11.20,Metric Tonnes,17-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,600.00","2,000.00","1,800.00",Rs./Quintal,4.80,Metric Tonnes,16-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,4.00,Metric Tonnes,16-11-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,3.90,Metric Tonnes,16-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,7.10,Metric Tonnes,15-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,6.90,Metric Tonnes,15-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,26.50,Metric Tonnes,14-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,8.90,Metric Tonnes,13-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,6.40,Metric Tonnes,13-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,16.90,Metric Tonnes,12-02-2026
